title,year,ids.trakt,ids.slug,ids.imdb,ids.tmdb,watchers,certification,poster_url
Harry Potter and the Deathly Hallows: Part 2,2011,7229,harry-potter-and-the-deathly-hallows-part-2-2011,tt1201607,12445,60,PG-13,https://walter-r2.trakt.tv/images/movies/000/007/229/posters/thumb/77092b6662.jpg.webp
Star Wars,1977,7,star-wars-1977,tt0076759,11,58,PG,https://walter-r2.trakt.tv/images/movies/000/000/007/posters/thumb/a4f84e22e4.jpg.webp
Tombstone,1993,6982,tombstone-1993,tt0108358,11969,58,R,https://walter-r2.trakt.tv/images/movies/000/006/982/posters/thumb/0253ee03f8.jpg.webp
Logan,2017,161972,logan-2017,tt3315342,263115,57,R,https://walter-r2.trakt.tv/images/movies/000/161/972/posters/thumb/b3586cb36b.jpg.webp
Batman Begins,2005,228,batman-begins-2005,tt0372784,272,57,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/228/posters/thumb/dc2a3555df.jpg.webp
Ant-Man,2015,73582,ant-man-2015,tt0478970,102899,57,PG-13,https://walter-r2.trakt.tv/images/movies/000/073/582/posters/thumb/b1db8bb8c3.jpg.webp
Despicable Me,2010,12496,despicable-me-2010,tt1323594,20352,57,PG,https://walter-r2.trakt.tv/images/movies/000/012/496/posters/thumb/eec86039d4.jpg.webp
Frozen II,2019,211394,frozen-ii-2019,tt4520988,330457,57,PG,https://walter-r2.trakt.tv/images/movies/000/211/394/posters/thumb/3c30bdd9c2.jpg.webp
Black Panther,2018,181313,black-panther-2018,tt1825683,284054,56,PG-13,https://walter-r2.trakt.tv/images/movies/000/181/313/posters/thumb/a37c06d644.jpg.webp
The Batman,2022,259852,the-batman-2022,tt1877830,414906,56,PG-13,https://walter-r2.trakt.tv/images/movies/000/259/852/posters/thumb/edaa502030.jpg.webp
Wonder Woman,2017,192487,wonder-woman-2017,tt0451279,297762,55,PG-13,https://walter-r2.trakt.tv/images/movies/000/192/487/posters/thumb/deef7a5830.jpg.webp
Pulp Fiction,1994,554,pulp-fiction-1994,tt0110912,680,55,R,https://walter-r2.trakt.tv/images/movies/000/000/554/posters/thumb/86f34f1038.jpg.webp
Gladiator,2000,67,gladiator-2000,tt0172495,98,55,R,https://walter-r2.trakt.tv/images/movies/000/000/067/posters/thumb/a897083955.jpg.webp
Coco,2017,222605,coco-2017,tt2380307,354912,55,PG,https://walter-r2.trakt.tv/images/movies/000/222/605/posters/thumb/8ab478090f.jpg.webp
Cars,2006,762,cars-2006,tt0317219,920,55,G,https://walter-r2.trakt.tv/images/movies/000/000/762/posters/thumb/b6b5f0fa46.jpg.webp
Doctor Strange in the Multiverse of Madness,2022,299910,doctor-strange-in-the-multiverse-of-madness-2022,tt9419884,453395,55,PG-13,https://walter-r2.trakt.tv/images/movies/000/299/910/posters/thumb/4fa84f889e.jpg.webp
Twisters,2024,561219,twisters-2024,tt12584954,718821,55,PG-13,https://walter-r2.trakt.tv/images/movies/000/561/219/posters/thumb/c7ab36264f.jpg.webp
Back to the Future,1985,74,back-to-the-future-1985,tt0088763,105,54,PG,https://walter-r2.trakt.tv/images/movies/000/000/074/posters/thumb/c608400a0d.jpg.webp
Deadpool 2,2018,226108,deadpool-2-2018,tt5463162,383498,54,R,https://walter-r2.trakt.tv/images/movies/000/226/108/posters/thumb/09507d6cc7.jpg.webp
Edge of Tomorrow,2014,92230,edge-of-tomorrow-2014,tt1631867,137113,54,PG-13,https://walter-r2.trakt.tv/images/movies/000/092/230/posters/thumb/08bdd53fda.jpg.webp
John Wick: Chapter 2,2017,205127,john-wick-chapter-2-2017,tt4425200,324552,53,R,https://walter-r2.trakt.tv/images/movies/000/205/127/posters/thumb/59972d4fb2.jpg.webp
Kingsman: The Secret Service,2015,128888,kingsman-the-secret-service-2015,tt2802144,207703,53,R,https://walter-r2.trakt.tv/images/movies/000/128/888/posters/thumb/a500e143bf.jpg.webp
Thor,2011,5408,thor-2011,tt0800369,10195,53,PG-13,https://walter-r2.trakt.tv/images/movies/000/005/408/posters/thumb/6e6e8c856d.jpg.webp
The Incredibles,2004,5065,the-incredibles-2004,tt0317705,9806,53,PG,https://walter-r2.trakt.tv/images/movies/000/005/065/posters/thumb/17b5d88aba.jpg.webp
Heat,1995,789,heat-1995,tt0113277,949,53,R,https://walter-r2.trakt.tv/images/movies/000/000/789/posters/thumb/102bb5a41e.jpg.webp
Captain America: The Winter Soldier,2014,72297,captain-america-the-winter-soldier-2014,tt1843866,100402,52,PG-13,https://walter-r2.trakt.tv/images/movies/000/072/297/posters/thumb/563efc9b64.jpg.webp
Jumanji: Welcome to the Jungle,2017,222254,jumanji-welcome-to-the-jungle-2017,tt2283362,353486,52,PG-13,https://walter-r2.trakt.tv/images/movies/000/222/254/posters/thumb/8de8447aaf.jpg.webp
Toy Story 2,1999,706,toy-story-2-1999,tt0120363,863,52,G,https://walter-r2.trakt.tv/images/movies/000/000/706/posters/thumb/7e07de2ea0.jpg.webp
Avatar: The Way of Water,2022,56580,avatar-the-way-of-water-2022,tt1630029,76600,52,PG-13,https://walter-r2.trakt.tv/images/movies/000/056/580/posters/thumb/ef9d678e06.jpg.webp
Ready Player One,2018,214279,ready-player-one-2018,tt1677720,333339,51,PG-13,https://walter-r2.trakt.tv/images/movies/000/214/279/posters/thumb/50752f5a7f.jpg.webp
The Silence of the Lambs,1991,230,the-silence-of-the-lambs-1991,tt0102926,274,51,R,https://walter-r2.trakt.tv/images/movies/000/000/230/posters/thumb/496f1a8bf5.jpg.webp
The Brutalist,2024,399330,the-brutalist-2024,tt8999762,549509,51,R,https://walter-r2.trakt.tv/images/movies/000/399/330/posters/thumb/33a922b372.jpg.webp
Suicide Squad,2016,193079,suicide-squad-2016,tt1386697,297761,50,PG-13,https://walter-r2.trakt.tv/images/movies/000/193/079/posters/thumb/506a6329c6.jpg.webp
Mad Max: Fury Road,2015,56360,mad-max-fury-road-2015,tt1392190,76341,50,R,https://walter-r2.trakt.tv/images/movies/000/056/360/posters/thumb/81486c7fea.jpg.webp
Big Hero 6,2014,112404,big-hero-6-2014,tt2245084,177572,50,PG,https://walter-r2.trakt.tv/images/movies/000/112/404/posters/thumb/a12b17e0c9.jpg.webp
Wreck-It Ralph,2012,61864,wreck-it-ralph-2012,tt1772341,82690,50,PG,https://walter-r2.trakt.tv/images/movies/000/061/864/posters/thumb/c79d6e43e5.jpg.webp
Spider-Man: Across the Spider-Verse,2023,420606,spider-man-across-the-spider-verse-2023,tt9362722,569094,50,PG,https://walter-r2.trakt.tv/images/movies/000/420/606/posters/thumb/4d3e396c8b.jpg.webp
Babygirl,2024,882689,babygirl-2024,tt30057084,1097549,50,R,https://walter-r2.trakt.tv/images/movies/000/882/689/posters/thumb/fc67a954aa.jpg.webp
Spider-Man: Far From Home,2019,273537,spider-man-far-from-home-2019,tt6320628,429617,49,PG-13,https://walter-r2.trakt.tv/images/movies/000/273/537/posters/thumb/0c2e13aff6.jpg.webp
The Godfather,1972,196,the-godfather-1972,tt0068646,238,49,R,https://walter-r2.trakt.tv/images/movies/000/000/196/posters/thumb/4436e95fee.jpg.webp
Toy Story 3,2010,5407,toy-story-3-2010,tt0435761,10193,49,G,https://walter-r2.trakt.tv/images/movies/000/005/407/posters/thumb/108f2d73f0.jpg.webp
Home Alone,1990,614,home-alone-1990,tt0099785,771,48,PG,https://walter-r2.trakt.tv/images/movies/000/000/614/posters/thumb/cfd8a21e95.jpg.webp
Presence,2025,918315,presence-2025,tt28249919,1140535,48,R,https://walter-r2.trakt.tv/images/movies/000/918/315/posters/thumb/517f872f91.jpg.webp
Parasite,2019,343180,parasite-2019,tt6751668,496243,47,R,https://walter-r2.trakt.tv/images/movies/000/343/180/posters/thumb/843d000f45.jpg.webp
Titanic,1997,475,titanic-1997,tt0120338,597,47,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/475/posters/thumb/b8395ccb86.jpg.webp
The Hangover,2009,11534,the-hangover-2009,tt1119646,18785,47,R,https://walter-r2.trakt.tv/images/movies/000/011/534/posters/thumb/87e9da7505.jpg.webp
Guardians of the Galaxy Volume 3,2023,293990,guardians-of-the-galaxy-volume-3-2023,tt6791350,447365,47,PG-13,https://walter-r2.trakt.tv/images/movies/000/293/990/posters/thumb/61ceb0624b.jpg.webp
Spider-Man,2002,438,spider-man-2002,tt0145487,557,46,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/438/posters/thumb/79c294300c.jpg.webp
Pirates of the Caribbean: Dead Man's Chest,2006,31,pirates-of-the-caribbean-dead-man-s-chest-2006,tt0383574,58,46,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/031/posters/thumb/66f05d7452.jpg.webp
The Fifth Element,1997,14,the-fifth-element-1997,tt0119116,18,46,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/014/posters/thumb/cdbaf1224d.jpg.webp
Ice Age,2002,337,ice-age-2002,tt0268380,425,46,PG,https://walter-r2.trakt.tv/images/movies/000/000/337/posters/thumb/98fffa6cee.jpg.webp
Captain America: The First Avenger,2011,1170,captain-america-the-first-avenger-2011,tt0458339,1771,45,PG-13,https://walter-r2.trakt.tv/images/movies/000/001/170/posters/thumb/04fa05d153.jpg.webp
Iron Man 3,2013,50134,iron-man-3-2013,tt1300854,68721,45,PG-13,https://walter-r2.trakt.tv/images/movies/000/050/134/posters/thumb/7392973da9.jpg.webp
Se7en,1995,650,se7en-1995,tt0114369,807,45,R,https://walter-r2.trakt.tv/images/movies/000/000/650/posters/thumb/69872078fd.jpg.webp
The Green Mile,1999,390,the-green-mile-1999,tt0120689,497,45,R,https://walter-r2.trakt.tv/images/movies/000/000/390/posters/thumb/ca5d732f66.jpg.webp
The Amazing Spider-Man,2012,1302,the-amazing-spider-man-2012,tt0948470,1930,45,PG-13,https://walter-r2.trakt.tv/images/movies/000/001/302/posters/thumb/0322c5364f.jpg.webp
The Hunger Games: Mockingjay - Part 2,2015,89543,the-hunger-games-mockingjay-part-2-2015,tt1951266,131634,45,PG-13,https://walter-r2.trakt.tv/images/movies/000/089/543/posters/thumb/48bd293ba0.jpg.webp
Kung Fu Panda,2008,4783,kung-fu-panda-2008,tt0441773,9502,45,PG,https://walter-r2.trakt.tv/images/movies/000/004/783/posters/thumb/be98d3ebdb.jpg.webp
Madagascar,2005,792,madagascar-2005,tt0351283,953,45,PG,https://walter-r2.trakt.tv/images/movies/000/000/792/posters/thumb/3ffad9abce.jpg.webp
Final Destination,2000,4810,final-destination-2000,tt0195714,9532,45,R,https://walter-r2.trakt.tv/images/movies/000/004/810/posters/thumb/427a126af4.jpg.webp
I'm Still Here,2024,804917,i-m-still-here-2024-09-19,tt14961016,1000837,45,PG-13,https://walter-r2.trakt.tv/images/movies/000/804/917/posters/thumb/1956da26de.jpg.webp
The Empire Strikes Back,1980,1266,the-empire-strikes-back-1980,tt0080684,1891,44,PG,https://walter-r2.trakt.tv/images/movies/000/001/266/posters/thumb/33004e8ae5.jpg.webp
Venom,2018,216715,venom-2018,tt1270797,335983,44,PG-13,https://walter-r2.trakt.tv/images/movies/000/216/715/posters/thumb/a0376dcb2b.jpg.webp
The Beekeeper,2024,692878,the-beekeeper-2024,tt15314262,866398,44,R,https://walter-r2.trakt.tv/images/movies/000/692/878/posters/thumb/20ba13961c.jpg.webp
Idiocracy,2006,3936,idiocracy-2006,tt0387808,7512,44,R,https://walter-r2.trakt.tv/images/movies/000/003/936/posters/thumb/04ba8462b2.jpg.webp
Conclave,2024,783046,conclave-2024,tt20215234,974576,44,PG,https://walter-r2.trakt.tv/images/movies/000/783/046/posters/thumb/320282dbfa.jpg.webp
Back in Action,2025,798786,back-in-action-2025,tt21191806,993710,44,PG-13,https://walter-r2.trakt.tv/images/movies/000/798/786/posters/thumb/54547d76c1.jpg.webp
Riff Raff,2025,907654,riff-raff-2025,tt27775403,1127767,44,R,https://walter-r2.trakt.tv/images/movies/000/907/654/posters/thumb/4743ec5d60.jpg.webp
Free Guy,2021,400704,free-guy-2021,tt6264654,550988,43,PG-13,https://walter-r2.trakt.tv/images/movies/000/400/704/posters/thumb/1b08406a33.jpg.webp
Fantastic Beasts and Where to Find Them,2016,158661,fantastic-beasts-and-where-to-find-them-2016,tt3183660,259316,42,PG-13,https://walter-r2.trakt.tv/images/movies/000/158/661/posters/thumb/83e3b58d39.jpg.webp
Alien,1979,295,alien-1979,tt0078748,348,42,R,https://walter-r2.trakt.tv/images/movies/000/000/295/posters/thumb/42faf18edc.jpg.webp
Old Guy,2024,866348,old-guy-2024,tt26442053,1077782,42,R,https://walter-r2.trakt.tv/images/movies/000/866/348/posters/thumb/53a8dcdae1.jpg.webp
Plankton: The Movie,2025,888803,plankton-the-movie-2025,tt32560777,1104845,42,N/A,https://walter-r2.trakt.tv/images/movies/000/888/803/posters/thumb/bc9c919499.jpg.webp
The Rule of Jenny Pen,2025,977523,the-rule-of-jenny-pen-2025,tt6874690,1212742,42,R,https://walter-r2.trakt.tv/images/movies/000/977/523/posters/thumb/9d0649e480.jpg.webp
Inglourious Basterds,2009,10322,inglourious-basterds-2009,tt0361748,16869,41,R,https://walter-r2.trakt.tv/images/movies/000/010/322/posters/thumb/df88007e18.jpg.webp
Shutter Island,2010,6422,shutter-island-2010,tt1130884,11324,41,R,https://walter-r2.trakt.tv/images/movies/000/006/422/posters/thumb/25438cb7fa.jpg.webp
Thor: The Dark World,2013,56358,thor-the-dark-world-2013,tt1981115,76338,41,PG-13,https://walter-r2.trakt.tv/images/movies/000/056/358/posters/thumb/34dbbfc606.jpg.webp
Blade Runner 2049,2017,216716,blade-runner-2049-2017,tt1856101,335984,41,R,https://walter-r2.trakt.tv/images/movies/000/216/716/posters/thumb/addcff9f21.jpg.webp
The Matrix Reloaded,2003,482,the-matrix-reloaded-2003,tt0234215,604,41,R,https://walter-r2.trakt.tv/images/movies/000/000/482/posters/thumb/83ae7fc678.jpg.webp
The Hunger Games: Mockingjay - Part 1,2014,89542,the-hunger-games-mockingjay-part-1-2014,tt1951265,131631,41,PG-13,https://walter-r2.trakt.tv/images/movies/000/089/542/posters/thumb/0f657b5ea7.jpg.webp
Mission: Impossible - Dead Reckoning Part One,2023,425809,mission-impossible-dead-reckoning-part-one-2023,tt9603212,575264,41,PG-13,https://walter-r2.trakt.tv/images/movies/000/425/809/posters/thumb/3bb7433162.jpg.webp
Den of Thieves,2018,296164,den-of-thieves-2018,tt1259528,449443,41,R,https://walter-r2.trakt.tv/images/movies/000/296/164/posters/thumb/5914422218.jpg.webp
A Real Pain,2024,815128,a-real-pain-2024,tt21823606,1013850,41,R,https://walter-r2.trakt.tv/images/movies/000/815/128/posters/thumb/8345daa893.jpg.webp
Jurassic World,2015,91374,jurassic-world-2015,tt0369610,135397,40,PG-13,https://walter-r2.trakt.tv/images/movies/000/091/374/posters/thumb/ca0b3db75a.jpg.webp
The Hobbit: An Unexpected Journey,2012,34097,the-hobbit-an-unexpected-journey-2012,tt0903624,49051,40,PG-13,https://walter-r2.trakt.tv/images/movies/000/034/097/posters/thumb/4afefcf2bd.jpg.webp
Spider-Man 2,2004,439,spider-man-2-2004,tt0316654,558,40,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/439/posters/thumb/153fc950a5.jpg.webp
Shrek 2,2004,652,shrek-2-2004,tt0298148,809,40,PG,https://walter-r2.trakt.tv/images/movies/000/000/652/posters/thumb/ed352ffc89.jpg.webp
The Incredible Hulk,2008,1155,the-incredible-hulk-2008,tt0800080,1724,40,PG-13,https://walter-r2.trakt.tv/images/movies/000/001/155/posters/thumb/679dcfdce9.jpg.webp
John Wick: Chapter 4,2023,448646,john-wick-chapter-4-2023,tt10366206,603692,40,R,https://walter-r2.trakt.tv/images/movies/000/448/646/posters/thumb/78d15c11ca.jpg.webp
Popeye the Slayer Man,2025,1134823,popeye-the-slayer-man-2025,tt30956852,1388366,40,N/A,https://walter-r2.trakt.tv/images/movies/001/134/823/posters/thumb/e432bff64f.jpg.webp
Star Wars: The Force Awakens,2015,94024,star-wars-the-force-awakens-2015,tt2488496,140607,39,PG-13,https://walter-r2.trakt.tv/images/movies/000/094/024/posters/thumb/5b10fc6ea3.jpg.webp
Mission: Impossible,1996,793,mission-impossible-1996,tt0117060,954,39,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/793/posters/thumb/4830a427c5.jpg.webp
Lilo & Stitch,2002,6625,lilo-stitch-2002,tt0275847,11544,39,PG,https://walter-r2.trakt.tv/images/movies/000/006/625/posters/thumb/f065dd5355.jpg.webp
A Goofy Movie,1995,9634,a-goofy-movie-1995,tt0113198,15789,39,G,https://walter-r2.trakt.tv/images/movies/000/009/634/posters/thumb/a6bc150a02.jpg.webp
Love Hurts,2025,990700,love-hurts-2025,tt30788842,1226406,39,R,https://walter-r2.trakt.tv/images/movies/000/990/700/posters/thumb/1662b509d4.jpg.webp
Now You See Me,2013,55786,now-you-see-me-2013,tt1670345,75656,38,PG-13,https://walter-r2.trakt.tv/images/movies/000/055/786/posters/thumb/c4886aa532.jpg.webp
Star Wars: Episode III - Revenge of the Sith,2005,1270,star-wars-episode-iii-revenge-of-the-sith-2005,tt0121766,1895,38,PG-13,https://walter-r2.trakt.tv/images/movies/000/001/270/posters/thumb/0a61a2ea42.jpg.webp
Catch Me If You Can,2002,516,catch-me-if-you-can-2002,tt0264464,640,38,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/516/posters/thumb/4993ddfecc.jpg.webp
John Wick: Chapter 3 - Parabellum,2019,304278,john-wick-chapter-3-parabellum-2019,tt6146586,458156,38,R,https://walter-r2.trakt.tv/images/movies/000/304/278/posters/thumb/0cea2a23a6.jpg.webp
Aladdin,1992,655,aladdin-1992,tt0103639,812,38,G,https://walter-r2.trakt.tv/images/movies/000/000/655/posters/thumb/6ff3df9662.jpg.webp
The Matrix Revolutions,2003,483,the-matrix-revolutions-2003,tt0242653,605,38,R,https://walter-r2.trakt.tv/images/movies/000/000/483/posters/thumb/b60fa32119.jpg.webp
Monsters University,2013,44679,monsters-university-2013,tt1453405,62211,38,G,https://walter-r2.trakt.tv/images/movies/000/044/679/posters/thumb/c68ce087d5.jpg.webp
How to Train Your Dragon 2,2014,61873,how-to-train-your-dragon-2-2014,tt1646971,82702,38,PG,https://walter-r2.trakt.tv/images/movies/000/061/873/posters/thumb/bd32f362c7.jpg.webp
The Mummy,1999,445,the-mummy-1999,tt0120616,564,38,PG-13,https://walter-r2.trakt.tv/images/movies/000/000/445/posters/thumb/d226f6adf8.jpg.webp
Encanto,2021,419442,encanto-2021,tt2953050,568124,38,PG,https://walter-r2.trakt.tv/images/movies/000/419/442/posters/thumb/20957cb77d.jpg.webp
Get Out,2017,264623,get-out-2017,tt5052448,419430,37,R,https://walter-r2.trakt.tv/images/movies/000/264/623/posters/thumb/3cba2b8393.jpg.webp
Ex Machina,2015,163375,ex-machina-2015,tt0470752,264660,37,R,https://walter-r2.trakt.tv/images/movies/000/163/375/posters/thumb/cae8e5e0c0.jpg.webp
Finding Dory,2016,87254,finding-dory-2016,tt2277860,127380,37,PG,https://walter-r2.trakt.tv/images/movies/000/087/254/posters/thumb/76fee863a6.jpg.webp
Ant-Man and the Wasp,2018,223262,ant-man-and-the-wasp-2018,tt5095030,363088,37,PG-13,https://walter-r2.trakt.tv/images/movies/000/223/262/posters/thumb/8c5b2357ef.jpg.webp
Spirited Away,2001,97,spirited-away-2001,tt0245429,129,37,PG,https://walter-r2.trakt.tv/images/movies/000/000/097/posters/thumb/f5dd88b533.jpg.webp
Once Upon a Time… in Hollywood,2019,313464,once-upon-a-time-in-hollywood-2019,tt7131622,466272,37,R,https://walter-r2.trakt.tv/images/movies/000/313/464/posters/thumb/9b6220414b.jpg.webp
Despicable Me 2,2013,68817,despicable-me-2-2013,tt1690953,93456,37,PG,https://walter-r2.trakt.tv/images/movies/000/068/817/posters/thumb/615f523e50.jpg.webp
Sicario,2015,171369,sicario-2015,tt3397884,273481,37,R,https://walter-r2.trakt.tv/images/movies/000/171/369/posters/thumb/a3938a03db.jpg.webp
Nobody,2021,458837,nobody-2021,tt7888964,615457,37,R,https://walter-r2.trakt.tv/images/movies/000/458/837/posters/thumb/abd4b17651.jpg.webp
Thor: Love and Thunder,2022,459282,thor-love-and-thunder-2022,tt10648342,616037,37,PG-13,https://walter-r2.trakt.tv/images/movies/000/459/282/posters/thumb/c27dc76364.jpg.webp
Predator,1987,75,predator-1987,tt0093773,106,37,R,https://walter-r2.trakt.tv/images/movies/000/000/075/posters/thumb/cf70c36182.jpg.webp
Juror #2,2024,890358,juror-2-2024,tt27403986,1106739,37,PG-13,https://walter-r2.trakt.tv/images/movies/000/890/358/posters/thumb/cbed21e834.jpg.webp
Alarum,2025,1012109,alarum-2025,tt31456973,1249289,37,R,https://walter-r2.trakt.tv/images/movies/001/012/109/posters/thumb/188240fb9c.jpg.webp
Counterattack,2025,1106746,counterattack-2025,tt23648788,1356039,37,R,https://walter-r2.trakt.tv/images/movies/001/106/746/posters/thumb/b362b08e3b.jpg.webp
Borderline,2025,814853,borderline-2025,tt13650814,1013482,37,R,https://walter-r2.trakt.tv/images/movies/000/814/853/posters/thumb/9c3ab2a69f.jpg.webp
Aquaman,2018,193968,aquaman-2018,tt1477834,297802,36,PG-13,https://walter-r2.trakt.tv/images/movies/000/193/968/posters/thumb/2a11607436.jpg.webp
The Maze Runner,2014,124008,the-maze-runner-2014,tt1790864,198663,36,PG-13,https://walter-r2.trakt.tv/images/movies/000/124/008/posters/thumb/e2ddbb9309.jpg.webp
